char,pca_3,pca_5,pca_7
213,[ 751.10106693 1022.79066284  110.20403178],[ 751.10106693 1022.79066284  110.20403178   42.46003145  313.47507038],"[ 751.10106693 1022.79066284  110.20403178   42.46003145  313.47507038
  -84.60421599   75.97221322]"
214,[ 743.71991928 1000.40560072   91.2751565 ],[ 743.71991928 1000.40560072   91.2751565    25.35894367  263.40295963],"[ 743.71991928 1000.40560072   91.2751565    25.35894367  263.40295963
  -95.53938777   84.61767911]"
215,[-202.07454348 -171.91365051 -115.84902052],[-202.07454348 -171.91365051 -115.84902052  138.30452262 -234.06590154],"[-202.07454348 -171.91365051 -115.84902052  138.30452262 -234.06590154
  -67.95913751  193.68141931]"
216,[ 472.39042887  687.03356216 -199.73112792],[ 472.39042887  687.03356216 -199.73112792  278.11591931  -41.79565376],"[ 472.39042887  687.03356216 -199.73112792  278.11591931  -41.79565376
 -202.35356483  497.99222847]"
217,[ 790.70301863  627.97590414 -234.46720486],[ 790.70301863  627.97590414 -234.46720486  -55.51901274  -93.49303834],"[ 790.70301863  627.97590414 -234.46720486  -55.51901274  -93.49303834
 -304.13076612   -8.08739775]"
218,[ 785.71352764  640.87356227 -231.0427895 ],[ 785.71352764  640.87356227 -231.0427895   -57.15930935  -85.38901839],"[ 785.71352764  640.87356227 -231.0427895   -57.15930935  -85.38901839
 -281.44786051  -15.04416191]"
219,[ 813.25476886  655.48980245 -204.72483182],[ 813.25476886  655.48980245 -204.72483182  -23.06686587  -35.05713533],"[ 813.25476886  655.48980245 -204.72483182  -23.06686587  -35.05713533
 -318.23623064  -11.89572319]"
220,[ 803.96332358  636.13693283 -223.53672895],[ 803.96332358  636.13693283 -223.53672895  -31.56866388  -80.46654304],"[ 803.96332358  636.13693283 -223.53672895  -31.56866388  -80.46654304
 -315.52611229   -2.43136661]"
221,[-348.7182022   203.49271412  -80.5696398 ],[-348.7182022   203.49271412  -80.5696398   342.20859896 -191.89228568],"[-348.7182022   203.49271412  -80.5696398   342.20859896 -191.89228568
  388.99124352  355.21735794]"
222,[  -4.05889257 -324.9565089   305.80533229],[  -4.05889257 -324.9565089   305.80533229  298.05076287  -82.03653034],"[  -4.05889257 -324.9565089   305.80533229  298.05076287  -82.03653034
 -281.97982607   56.87354695]"
